Condition,Row,Column,Intensity
TSA,1,1,6843
TSA,2,1,7328
TSA,3,1,6696
TSA,4,1,6703
TSA,5,1,6447
TSA,6,1,6383
TSA,7,1,6137
TSA,8,1,6799
TSA,9,1,5864
TSA,10,1,5997
TSA,11,1,6103
TSA,12,1,6350
TSA,13,1,6204
TSA,14,1,6540
TSA,15,1,6234
TSA,16,1,6215
TSA,1,2,6533
TSA,2,2,8066
TSA,3,2,7811
TSA,4,2,7682
TSA,5,2,6741
TSA,6,2,7150
TSA,7,2,6870
TSA,8,2,8478
TSA,9,2,7308
TSA,10,2,6783
TSA,11,2,6713
TSA,12,2,7157
TSA,13,2,7972
TSA,14,2,8164
TSA,15,2,7229
TSA,16,2,7133
TSA,1,3,8294
TSA,2,3,9832
TSA,3,3,9327
TSA,4,3,8813
TSA,5,3,8072
TSA,6,3,8451
TSA,7,3,8775
TSA,8,3,9025
TSA,9,3,8304
TSA,10,3,9032
TSA,11,3,9829
TSA,12,3,9317
TSA,13,3,7799
TSA,14,3,8165
TSA,15,3,7388
TSA,16,3,7578
TSA,1,4,8971
TSA,2,4,11974
TSA,3,4,11457
TSA,4,4,10616
TSA,5,4,9479
TSA,6,4,9583
TSA,7,4,9564
TSA,8,4,9549
TSA,9,4,8887
TSA,10,4,11686
TSA,11,4,10526
TSA,12,4,9729
TSA,13,4,8504
TSA,14,4,8706
TSA,15,4,7985
TSA,16,4,8713
TSA,1,5,8566
TSA,2,5,13499
TSA,3,5,13343
TSA,4,5,11732
TSA,5,5,12432
TSA,6,5,11752
TSA,7,5,10652
TSA,8,5,10219
TSA,9,5,10601
TSA,10,5,11589
TSA,11,5,10359
TSA,12,5,9912
TSA,13,5,9175
TSA,14,5,9856
TSA,15,5,8900
TSA,16,5,9842
TSA,1,6,8799
TSA,2,6,16495
TSA,3,6,16196
TSA,4,6,13749
TSA,5,6,13796
TSA,6,6,13169
TSA,7,6,11747
TSA,8,6,12091
TSA,9,6,11483
TSA,10,6,12234
TSA,11,6,11309
TSA,12,6,10692
TSA,13,6,10089
TSA,14,6,12043
TSA,15,6,10825
TSA,16,6,11336
TSA,1,7,11431
TSA,2,7,16494
TSA,3,7,16869
TSA,4,7,14817
TSA,5,7,13873
TSA,6,7,13922
TSA,7,7,14462
TSA,8,7,14812
TSA,9,7,14173
TSA,10,7,14237
TSA,11,7,13096
TSA,12,7,13178
TSA,13,7,12015
TSA,14,7,12751
TSA,15,7,12187
TSA,16,7,14718
TSA,1,8,12543
TSA,2,8,20160
TSA,3,8,18310
TSA,4,8,15685
TSA,5,8,14907
TSA,6,8,15546
TSA,7,8,15438
TSA,8,8,16562
TSA,9,8,15623
TSA,10,8,16310
TSA,11,8,15123
TSA,12,8,15935
TSA,13,8,14147
TSA,14,8,13638
TSA,15,8,13498
TSA,16,8,15335
TSA,1,9,12275
TSA,2,9,19452
TSA,3,9,18965
TSA,4,9,17451
TSA,5,9,18202
TSA,6,9,18530
TSA,7,9,16831
TSA,8,9,16751
TSA,9,9,16460
TSA,10,9,17247
TSA,11,9,17377
TSA,12,9,17717
TSA,13,9,16727
TSA,14,9,15639
TSA,15,9,14920
TSA,16,9,15403
TSA,1,10,13817
TSA,2,10,24992
TSA,3,10,21721
TSA,4,10,19017
TSA,5,10,19743
TSA,6,10,19972
TSA,7,10,18451
TSA,8,10,18215
TSA,9,10,18003
TSA,10,10,18345
TSA,11,10,18385
TSA,12,10,17247
TSA,13,10,16717
TSA,14,10,17216
TSA,15,10,15478
TSA,16,10,17398
TSA,1,11,13383
TSA,2,11,19509
TSA,3,11,21464
TSA,4,11,22284
TSA,5,11,20159
TSA,6,11,19573
TSA,7,11,18071
TSA,8,11,17948
TSA,9,11,18922
TSA,10,11,20192
TSA,11,11,18875
TSA,12,11,17870
TSA,13,11,17894
TSA,14,11,20305
TSA,15,11,15970
TSA,16,11,15346
TSA,1,12,14171
TSA,2,12,17869
TSA,3,12,20667
TSA,4,12,22185
TSA,5,12,21501
TSA,6,12,21743
TSA,7,12,18657
TSA,8,12,18286
TSA,9,12,19935
TSA,10,12,20124
TSA,11,12,18849
TSA,12,12,19370
TSA,13,12,19213
TSA,14,12,20504
TSA,15,12,17610
TSA,16,12,16529
TSA,1,13,15165
TSA,2,13,19589
TSA,3,13,20994
TSA,4,13,21883
TSA,5,13,22527
TSA,6,13,23760
TSA,7,13,21595
TSA,8,13,21143
TSA,9,13,21726
TSA,10,13,20071
TSA,11,13,20362
TSA,12,13,22758
TSA,13,13,19439
TSA,14,13,19347
TSA,15,13,19746
TSA,16,13,20713
TSA,1,14,16401
TSA,2,14,23162
TSA,3,14,22023
TSA,4,14,21876
TSA,5,14,22728
TSA,6,14,24096
TSA,7,14,23082
TSA,8,14,24045
TSA,9,14,22447
TSA,10,14,20473
TSA,11,14,22016
TSA,12,14,25097
TSA,13,14,21325
TSA,14,14,20237
TSA,15,14,20356
TSA,16,14,22616
TSA,1,15,16812
TSA,2,15,26483
TSA,3,15,23784
TSA,4,15,22971
TSA,5,15,24795
TSA,6,15,26054
TSA,7,15,24766
TSA,8,15,25614
TSA,9,15,24259
TSA,10,15,23650
TSA,11,15,23079
TSA,12,15,24692
TSA,13,15,24038
TSA,14,15,23358
TSA,15,15,20238
TSA,16,15,19720
TSA,1,16,18782
TSA,2,16,33595
TSA,3,16,28453
TSA,4,16,23990
TSA,5,16,25341
TSA,6,16,27166
TSA,7,16,26000
TSA,8,16,26197
TSA,9,16,25103
TSA,10,16,25261
TSA,11,16,23972
TSA,12,16,25141
TSA,13,16,25517
TSA,14,16,23880
TSA,15,16,20482
TSA,16,16,20664
TSA,1,17,19852
TSA,2,17,28134
TSA,3,17,26173
TSA,4,17,26300
TSA,5,17,27393
TSA,6,17,28499
TSA,7,17,27978
TSA,8,17,28072
TSA,9,17,26953
TSA,10,17,26578
TSA,11,17,26859
TSA,12,17,26950
TSA,13,17,25967
TSA,14,17,25386
TSA,15,17,22451
TSA,16,17,23071
TSA,1,18,23392
TSA,2,18,29451
TSA,3,18,26058
TSA,4,18,27052
TSA,5,18,28831
TSA,6,18,28467
TSA,7,18,28172
TSA,8,18,29275
TSA,9,18,27553
TSA,10,18,27945
TSA,11,18,27492
TSA,12,18,27791
TSA,13,18,27745
TSA,14,18,26418
TSA,15,18,25077
TSA,16,18,27412
TSA,1,19,21134
TSA,2,19,27458
TSA,3,19,29221
TSA,4,19,29634
TSA,5,19,28097
TSA,6,19,29516
TSA,7,19,29382
TSA,8,19,29088
TSA,9,19,28470
TSA,10,19,27851
TSA,11,19,27661
TSA,12,19,29771
TSA,13,19,28690
TSA,14,19,27942
TSA,15,19,25527
TSA,16,19,25785
TSA,1,20,21495
TSA,2,20,29459
TSA,3,20,30893
TSA,4,20,31857
TSA,5,20,30822
TSA,6,20,31468
TSA,7,20,30302
TSA,8,20,29669
TSA,9,20,28134
TSA,10,20,27071
TSA,11,20,28591
TSA,12,20,32074
TSA,13,20,29653
TSA,14,20,29069
TSA,15,20,26963
TSA,16,20,25796
TSA,1,21,20547
TSA,2,21,30880
TSA,3,21,30302
TSA,4,21,30228
TSA,5,21,30382
TSA,6,21,32006
TSA,7,21,29600
TSA,8,21,30164
TSA,9,21,28096
TSA,10,21,27561
TSA,11,21,27372
TSA,12,21,28576
TSA,13,21,28339
TSA,14,21,27263
TSA,15,21,27740
TSA,16,21,27794
TSA,1,22,23723
TSA,2,22,41147
TSA,3,22,33652
TSA,4,22,30503
TSA,5,22,29298
TSA,6,22,34107
TSA,7,22,31580
TSA,8,22,31388
TSA,9,22,30301
TSA,10,22,27490
TSA,11,22,26435
TSA,12,22,27005
TSA,13,22,25843
TSA,14,22,25864
TSA,15,22,25577
TSA,16,22,26349
TSA,1,23,15944
TSA,2,23,29079
TSA,3,23,31565
TSA,4,23,30894
TSA,5,23,25216
TSA,6,23,26298
TSA,7,23,28666
TSA,8,23,32421
TSA,9,23,30815
TSA,10,23,29166
TSA,11,23,26261
TSA,12,23,25998
TSA,13,23,23692
TSA,14,23,26689
TSA,15,23,21879
TSA,16,23,20922
TSA,1,24,8918
TSA,2,24,14907
TSA,3,24,28418
TSA,4,24,32924
TSA,5,24,26385
TSA,6,24,26824
TSA,7,24,27941
TSA,8,24,32404
TSA,9,24,30807
TSA,10,24,28452
TSA,11,24,24128
TSA,12,24,20720
TSA,13,24,22031
TSA,14,24,26181
TSA,15,24,21889
TSA,16,24,20283